64, 0.003519, 0.231096
100, 0.010410, 0.977449
128, 0.017395, 2.579067
200, 0.044498, 8.891173
256, 0.073513, 31.149592
512, 0.283836, 298.118271
600, 0.411534, 243.798156
900, 0.927403, 927.843165
1024, 1.201738, 5418.004453
2000, 4.308958, 13031.326602
2048, 11.017186, 56023.009134
64, 0.003860, 0.237149
100, 0.010107, 0.957731
128, 0.017254, 2.559143
200, 0.044667, 8.817312
256, 0.074076, 30.783705
512, 0.284134, 297.820654
600, 0.381217, 230.832955
900, 0.911671, 925.909950
1024, 1.203093, 5436.337329
2000, 4.319740, 13025.888082
2048, 4.920365, 55522.189339
64, 0.007557, 0.503361
100, 0.009789, 0.949669
128, 0.016631, 2.580163
200, 0.125356, 23.031294
256, 0.073279, 30.818795
512, 0.278178, 297.095126
600, 1.173973, 249.163201
900, 0.954360, 915.654564
1024, 3.351986, 5356.279371
2000, 4.409911, 13003.644924
2048, 10.954314, 55947.903614
64, 0.003057, 0.212163
100, 0.010060, 0.950379
128, 0.017154, 2.554978
200, 0.044514, 8.892068
256, 0.073730, 31.273205
512, 0.298235, 298.542317
600, 1.174119, 252.098352
900, 0.900980, 923.382693
1024, 3.222412, 5445.567822
2000, 10.082575, 13011.024349
2048, 4.525738, 55994.418690
